#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
1	0	9.5155164
1	64	8.8861142
1	128	8.5292648
1	192	6.1264366
1	256	6.7793066
1	320	8.080294
1	384	6.5439522
1	448	5.3719486
1	512	7.3445224
1	576	2.5375302
1	640	8.0208688
1	704	8.0918496
1	768	7.6657688
1	832	6.997029
1	896	4.5760802
1	960	5.9445236
1	1024	6.6310876
1	1088	5.5924056
1	1152	9.6349578
1	1216	4.603434
1	1280	8.0482146
1	1344	7.6503568
1	1408	8.0115222
1	1472	6.3954856
1	1536	5.7655646
1	1600	7.1782908
1	1664	6.273746
1	1728	3.9998244
1	1792	6.465704
1	1856	1.9429194
1	1920	7.9209202
1	1984	2.2514468
1	2048	5.8830646
2	0	6.5797684
2	64	4.573934
2	128	0.7558612
2	192	4.273944
2	256	7.2854326
2	320	6.7620416
2	384	5.5415216
2	448	6.0225494
2	512	6.2847232
2	576	1.20277
2	640	6.9419892
2	704	5.6579736
2	768	4.8880278
2	832	6.890172
2	896	4.1488934
2	960	4.958435
2	1024	5.7002696
2	1088	5.4058928
2	1152	5.2599888
2	1216	4.655909
2	1280	6.8423052
2	1344	5.6449212
2	1408	5.6836352
2	1472	4.5066738
2	1536	1.0483882
2	1600	4.5024818
2	1664	4.8641538
2	1728	4.1467088
2	1792	3.962936
2	1856	5.2005354
2	1920	4.1163644
2	1984	4.1248842
2	2048	5.0640304
3	0	4.675344
3	64	5.3996242
3	128	3.4901088
3	192	4.8466478
3	256	4.9073794
3	320	7.1851582
3	384	5.7487198
3	448	5.9860478
3	512	5.5423486
3	576	5.5574632
3	640	6.423347
3	704	6.0259616
3	768	7.9668718
3	832	8.7389656
3	896	10.0858804
3	960	8.2601128
3	1024	9.1743092
3	1088	0
3	1152	8.848523
3	1216	7.1423692
3	1280	8.0397058
3	1344	7.3637392
3	1408	5.2219788
3	1472	4.9123612
3	1536	6.303881
3	1600	5.7439598
3	1664	4.9024692
3	1728	0.7428392
3	1792	6.44867
3	1856	4.3705658
3	1920	5.1709286
3	1984	5.8555296
3	2048	4.922205
4	0	1.5928572
4	64	3.720403
4	128	4.4133688
4	192	5.356776
4	256	0
4	320	4.3968004
4	384	2.5518202
4	448	6.1389516
4	512	5.7665306
4	576	2.9320336
4	640	6.3332004
4	704	4.9171536
4	768	5.9610296
4	832	4.401305
4	896	7.8862834
4	960	7.1249476
4	1024	7.104221
4	1088	7.1063822
4	1152	5.469966
4	1216	6.1269856
4	1280	5.2757828
4	1344	3.3404208
4	1408	5.5950438
4	1472	3.7737764
4	1536	4.2099734
4	1600	1.0109816
4	1664	4.6678858
4	1728	5.1695548
4	1792	4.560454
4	1856	0
4	1920	5.5050238
4	1984	0.8267236
4	2048	3.7244304
5	0	0
5	64	6.5622874
5	128	6.2168234
5	192	7.1239088
5	256	6.9776152
5	320	8.4770344
5	384	7.5215266
5	448	7.3245836
5	512	7.0465336
5	576	7.908697
5	640	9.2050988
5	704	6.9852882
5	768	9.9778436
5	832	5.7389442
5	896	10.4224398
5	960	6.6392164
5	1024	7.3330632
5	1088	5.7785872
5	1152	6.5991526
5	1216	5.529081
5	1280	7.262125
5	1344	5.0014016
5	1408	4.8497132
5	1472	6.2619418
5	1536	5.3212376
5	1600	5.9467992
5	1664	6.292815
5	1728	5.694965
5	1792	5.2880912
5	1856	3.1874432
5	1920	6.0365556
5	1984	5.1953112
5	2048	4.345571
6	0	4.944533
6	64	4.6907436
6	128	4.5521398
6	192	5.4647554
6	256	5.3628556
6	320	5.8161118
6	384	6.2189766
6	448	6.3861094
6	512	5.9160498
6	576	7.3812042
6	640	6.5479038
6	704	6.7294412
6	768	0
6	832	6.644934
6	896	7.5497624
6	960	1.6215698
6	1024	6.2430782
6	1088	5.3124868
6	1152	6.1618182
6	1216	5.2777052
6	1280	5.344209
6	1344	5.1916892
6	1408	4.6736022
6	1472	5.423695
6	1536	4.0726686
6	1600	4.928353
6	1664	4.4490608
6	1728	4.3494362
6	1792	4.3579334
6	1856	4.6730738
6	1920	4.2663194
6	1984	4.1337932
6	2048	2.5132764
7	0	5.0163926
7	64	6.5118422
7	128	6.011772
7	192	4.9828002
7	256	6.5743436
7	320	7.858614
